Object_ID,X,Y,Size,Luminosity
1,0.0,30.0,1.0,71
2,5.170940170940171,78.7094017094017,117.0,8633
3,0.0,91.5,4.0,291
4,0.3333333333333333,97.33333333333333,3.0,218
5,0.0,100.0,1.0,71
6,0.0,142.0,1.0,71
7,0.6666666666666666,233.33333333333334,3.0,214
8,13.867082961641392,263.72970561998216,1121.0,84809
9,0.0,248.0,1.0,71
10,0.0,251.0,1.0,72
11,0.0,254.0,1.0,71
12,1.125,294.625,8.0,586
13,0.0,298.0,1.0,72
14,1.0,39.0,1.0,73
15,1.0,231.0,1.0,72
16,2.0,30.5,2.0,142
17,2.0,251.5,2.0,142
18,3.0,298.5,2.0,144
19,4.0,34.0,1.0,73
20,4.0,97.0,1.0,73
21,4.5,99.5,2.0,146
22,4.0,227.0,1.0,71
23,4.0,232.0,1.0,71
24,6.0,39.0,1.0,71
25,8.0,40.0,1.0,71
26,8.5,94.0,2.0,146
27,9.0,37.0,1.0,71
28,9.0,296.0,1.0,71
29,10.0,85.0,1.0,71
30,10.0,88.5,2.0,149
31,12.0,36.333333333333336,3.0,218
32,11.0,200.0,1.0,72
33,14.0,83.0,1.0,71
34,15.0,39.0,1.0,72
35,15.0,86.0,1.0,72
36,15.0,103.0,1.0,71
37,15.0,105.0,1.0,72
38,15.0,203.0,1.0,72
39,16.5,83.0,2.0,145
40,16.0,92.0,1.0,72
41,17.666666666666668,40.333333333333336,3.0,213
42,17.0,72.0,1.0,75
43,17.0,94.0,1.0,72
44,17.5,98.5,2.0,142
45,18.0,79.0,1.0,72
46,18.0,109.5,2.0,147
47,18.5,112.5,2.0,143
48,18.0,204.0,1.0,73
49,19.75,85.25,4.0,288
50,19.833333333333332,93.66666666666667,6.0,436
51,20.0,97.0,1.0,71
52,20.0,137.0,1.0,71
53,20.5,285.0,2.0,144
54,21.333333333333332,99.33333333333333,3.0,218
55,21.0,103.0,1.0,72
56,21.0,209.0,1.0,72
57,21.5,298.0,2.0,152
58,28.0,89.44444444444444,45.0,3322
59,22.0,93.0,1.0,72
60,22.5,198.0,2.0,142
61,23.0,71.0,1.0,72
62,23.0,101.0,1.0,72
63,23.0,103.0,1.0,73
64,23.0,112.0,1.0,71
65,23.333333333333332,203.33333333333334,3.0,214
66,23.5,287.0,2.0,151
67,24.0,216.0,1.0,71
68,24.0,219.0,1.0,71
69,25.0,80.0,1.0,71
70,25.0,95.5,2.0,145
71,25.0,101.0,1.0,71
72,25.666666666666668,105.33333333333333,3.0,215
73,26.0,75.0,1.0,71
74,26.0,82.0,1.0,72
75,26.0,200.5,2.0,147
76,26.0,204.0,1.0,71
77,26.0,288.0,1.0,71
78,27.0,77.0,1.0,71
79,27.666666666666668,102.0,3.0,216
80,27.0,140.0,1.0,73
81,28.0,69.0,1.0,72
82,28.0,81.0,1.0,71
83,28.0,134.0,1.0,71
84,28.0,199.0,1.0,71
85,28.0,203.0,1.0,71
86,28.0,286.0,1.0,71
87,28.0,288.5,2.0,144
88,29.666666666666668,204.66666666666666,3.0,214
89,29.0,215.0,1.0,74
90,29.0,268.0,1.0,72
91,29.0,281.0,1.0,74
92,51.83461538461538,87.25769230769231,520.0,38443
93,30.5,277.0,2.0,144
94,31.0,285.3333333333333,3.0,213
95,30.0,291.0,1.0,71
96,31.0,71.0,1.0,75
97,32.0,192.0,1.0,71
98,32.0,216.0,1.0,72
99,32.0,220.0,1.0,72
100,32.0,279.0,1.0,71
101,33.0,87.0,1.0,71
102,33.5,190.0,2.0,153
103,33.0,199.5,2.0,144
104,33.0,214.0,1.0,72
105,33.5,283.0,2.0,143
106,33.5,288.0,2.0,146
107,33.0,299.0,1.0,71
108,34.0,98.5,2.0,147
109,34.0,145.0,1.0,71
110,34.0,197.0,1.0,72
111,34.666666666666664,219.0,3.0,215
112,34.0,224.0,1.0,71
113,35.0,64.0,1.0,75
114,35.0,204.0,1.0,72
115,35.333333333333336,213.33333333333334,3.0,215
116,35.0,216.0,1.0,71
117,35.0,272.0,1.0,71
118,43.76712328767123,288.1917808219178,73.0,5348
119,36.0,76.0,1.0,72
120,37.25,198.25,4.0,292
121,36.0,206.0,1.0,71
122,36.0,277.0,1.0,71
123,36.0,286.0,1.0,72
124,37.0,299.0,3.0,215
125,39.75,217.375,8.0,580
126,37.0,295.0,1.0,71
127,37.5,297.0,2.0,146
128,39.333333333333336,95.44444444444444,9.0,655
129,38.0,204.0,1.0,73
130,38.0,225.0,1.0,71
131,38.6,285.2,5.0,371
132,39.5,70.5,2.0,144
133,40.0,221.33333333333334,6.0,439
134,40.5,212.0,6.0,445
135,40.0,215.0,1.0,71
136,40.0,277.0,1.0,71
137,40.0,280.0,1.0,71
138,40.0,299.0,1.0,71
139,41.0,89.0,1.0,72
140,41.0,163.0,1.0,74
141,41.0,170.0,1.0,71
142,43.5,71.25,4.0,285
143,42.5,75.0,2.0,144
144,42.0,99.0,1.0,72
145,42.0,183.0,1.0,71
146,43.0,149.0,1.0,74
147,43.0,177.0,1.0,73
148,43.833333333333336,213.0,6.0,427
149,43.0,296.0,1.0,73
150,44.0,73.0,1.0,72
151,44.5,208.0,4.0,288
152,44.0,299.0,1.0,71
153,45.0,218.0,1.0,71
154,45.75,232.0,4.0,322
155,46.0,176.0,1.0,79
156,47.0,191.0,1.0,72
157,47.0,204.0,1.0,73
158,48.84615384615385,213.53846153846155,13.0,937
159,47.0,282.0,1.0,71
160,48.0,162.0,1.0,72
161,48.5,205.5,2.0,149
162,50.53846153846154,292.2307692307692,13.0,953
163,49.0,107.0,1.0,71
164,49.0,203.0,1.0,71
165,51.666666666666664,282.0,3.0,222
166,51.666666666666664,296.6666666666667,3.0,219
167,52.0,206.5,2.0,143
168,54.5,217.875,8.0,577
169,52.0,234.0,1.0,74
170,53.0,99.0,1.0,71
171,55.55555555555556,212.22222222222223,9.0,656
172,53.0,214.0,1.0,72
173,54.0,109.0,1.0,71
174,57.6,209.4,10.0,717
175,54.0,283.0,1.0,71
176,55.0,105.0,1.0,73
177,55.666666666666664,297.3333333333333,3.0,218
178,57.25,289.25,4.0,287
179,56.333333333333336,293.3333333333333,3.0,214
180,57.0,73.0,1.0,71
181,57.0,153.0,1.0,72
182,57.0,220.0,1.0,72
183,58.0,180.0,1.0,72
184,58.0,296.0,1.0,74
185,59.0,171.0,1.0,71
186,59.0,294.0,1.0,71
187,59.0,299.0,1.0,73
188,60.0,183.0,1.0,74
189,60.0,204.0,1.0,72
190,60.0,288.0,1.0,71
191,61.0,50.0,1.0,71
192,61.0,102.0,1.0,71
193,61.5,104.5,2.0,146
194,61.0,296.0,1.0,71
195,62.0,110.0,1.0,74
196,62.5,205.5,2.0,151
197,62.0,213.0,1.0,71
198,63.0,51.0,1.0,71
199,63.0,66.0,1.0,76
200,66.21428571428571,111.5,14.0,1014
201,63.0,147.0,1.0,71
202,63.5,215.5,2.0,143
203,63.333333333333336,292.6666666666667,3.0,220
204,64.0,297.2,10.0,715
205,64.0,77.0,1.0,75
206,64.0,211.0,1.0,71
207,65.5,107.0,2.0,144
208,65.0,201.0,1.0,71
209,66.0,79.0,1.0,71
210,66.0,101.0,1.0,71
211,66.5,115.5,2.0,147
212,66.66666666666667,293.6666666666667,3.0,225
213,67.0,202.0,1.0,75
214,67.0,220.0,1.0,71
215,67.0,282.0,1.0,73
216,68.5,117.0,2.0,144
217,90.15,295.2916666666667,240.0,17886
218,70.0,82.0,3.0,221
219,69.0,122.0,1.0,73
220,69.0,218.5,2.0,152
221,75.67647058823529,112.67647058823529,34.0,2488
222,71.0,108.0,1.0,71
223,72.0,208.0,1.0,76
224,72.0,220.0,1.0,72
225,73.0,108.0,1.0,71
226,73.0,122.0,1.0,72
227,73.0,215.0,1.0,72
228,74.0,226.0,1.0,73
229,75.0,109.0,1.0,72
230,75.0,201.0,1.0,72
231,76.0,98.0,1.0,71
232,76.0,117.0,1.0,72
233,76.75,291.75,4.0,291
234,78.0,99.66666666666667,3.0,218
235,78.66666666666667,115.33333333333333,3.0,221
236,78.0,208.0,1.0,71
237,87.96629213483146,112.0561797752809,89.0,6484
238,79.0,113.0,1.0,74
239,79.5,211.5,2.0,146
240,80.0,125.0,1.0,74
241,81.0,208.0,1.0,73
242,83.5,100.0,2.0,143
243,83.0,215.0,1.0,73
244,83.0,233.0,1.0,72
245,84.0,278.0,1.0,71
246,85.0,161.0,1.0,71
247,85.0,285.0,1.0,72
248,86.0,39.0,1.0,71
249,91.91176470588235,211.02941176470588,34.0,2473
250,87.625,283.625,8.0,590
251,87.7,288.7,10.0,734
252,87.66666666666667,105.33333333333333,3.0,216
253,87.0,125.0,1.0,71
254,87.0,132.0,1.0,71
255,88.0,121.0,1.0,74
256,91.55555555555556,97.88888888888889,9.0,668
257,89.0,219.0,1.0,71
258,102.14583333333333,108.48958333333333,96.0,7059
259,91.28571428571429,121.71428571428571,7.0,498
260,90.0,231.0,1.0,71
261,92.5,281.5,4.0,287
262,91.0,285.0,1.0,71
263,93.0,216.8,5.0,361
264,92.33333333333333,220.66666666666666,3.0,226
265,92.0,231.0,1.0,73
266,93.0,22.0,1.0,73
267,94.0,278.0,1.0,72
268,95.0,24.0,1.0,75
